above               	tyímánəә̀kà 
afraid              	óntùndló-nò 
ant                 	ménáalèm-yô 
arm           	plíik-yô 
hand           	plíik-yô 
arrow               	kíilí-yò 
ashes               	núu-yô 
machete        	ŋkwáanèkəә̀-yô 
axe        	ŋkwáanèkəә̀-yô 
bad                 	yópnómúum-ò 
bamboo              	táaní-yò 
banana              	pée-yò 
bandicoot           	pyáal-yò, núulí-yé 
bark                	túudí-yò 
bat                 	trúum-yò 
to bathe               	yílwà-nô,  mwáŋkwáid-nô 
behind              	dyíel 
belly               	bráat-yô 
below               	kákúntáukè 
big                 	mbúud-nô 
bird sp. (gallinaceous) 	kwáaklèn-yò 
bite                	klúun-yô 
bitter              	túntəә̀nlíd-yô 
black        	páunlìd-yô 
dirty        	páunlìd-yô 
blister             	bíis-yò 
blood               	kpíi-yò 
to blow                	dóopún-yô 
blunt               	káudəә̀nléd-yô 
body                	káalí-yò 
bone                	ntyéns-yô 
to be born         	dyésúo-ɡəә̀lòkò,  nénsúo-nô 
bottom              	mpyáakəә̀t-yô 
bow                 	spáu-yô 
branch              	kúdmím-yô 
breadfruit          	mbríilí-yò 
to break      	áŋkéŋ-ɡəә̀lòkò 
breast              	túulí-yò 
breathe             	klókəә̀mwéel-ô 
to bring        	n(u)wáanô 
to carry        	n(u)wáanô 
to burn                	néŋklyáa-ɡəә̀lòkò,  nyəәntuu-no 
butterfly           	síipəә̀nék-yò 
calf                	kléekəә́t-yô 
to call out        	óo-nô 
canoe               	éepèl-yò 
to carry on shoulder   	némpúukəә̀-nô 
cassava	yúmséet-yò 
sweet potato 	yúmséet-yò 
cassowary           	múulí-yò 
to chase               	némpóuntlàm-nô 
cheek               	máɡɨ̀-yô 
chew                	tpóindlyábəә̀-ɡəә̀lòkò 
child               	náil-yò 
jaw, chin                	díipəә̀k-yô 
cloth-clothes            	yúupí-yò 
cockatoo            	áŋkòpí-yò 
cockroach           	páupùdìb-yô 
cold                	páɡétù-nô 
to come                	wée-nô 
to cook                	nénsíŋ-ɡəә̀lòkò 
to cough               	mpyátəә̀ntwé-yò 
crocodile           	kwáapəә́l-yô 
to cry              	táa-nô 
cuscus              	kíil-yô 
to cut                 	páansìɡ-nwà-nô 
to chop, cut down            	kunsiɡ-nwa-no 
to cut off             	tée-nô 
to dance               	úntyís-nò, úntyís-nwà-nô 
deaf                	kákɨ́dnéβ-ô 
to defecate            	pyáa-nô 
to die                 	kíyè-nô 
to dig                 	íimì-nô 
to dream               	trónəә̀ntíyè-nô 
drift               	nɨ́ŋkɨ́ɨn-yô 
to drink               	tóon-yô 
dry or overripe fruit 	tíipóp-yè 
ear                 	téemé-yô 
to-eat      	núu-nô 
to-eat   	kéep-yô 
eel                 	éetém-yò 
egg                 	bléemí-yò 
elbow               	ntúuməә̀l-yô 
charcoal    	dúmsáalí-yò 
embers    	dúmsáalí-yò 
eye                 	mlúul-yô 
to fall                	kwáa-nô 
far                 	túnəә̀ntée-nô 
fast       	klyá túuu-nô 
father              	áis-yô 
feces               	pyáa-nô 
fern    	ɡəә́dyúwée-yô 
a few               	páyé pɨ́ɡɨ́yé 
fight               	túuləә̀-nô, túuləә̀n-tróo-nò 
fill                	márəә̀-nô 
find                	pámáal-yô 
fingernail          	plíik-ùɡəә̀-nô, plíi-kísìt-ô 
fire                	núup-yò 
firewood            	óopí-yò 
fish sp.            	kíid-yô, kíid-yé 
fish sp., catfish   	pléemí-yô 
fish sp., catfish   	tkée-yô 
flesh               	ntyéepí-yò 
flute               	púub-nô 
fly             	kwámmáal-yò 
to fly            	mpíisèt-yô 
forest       	dyéŋkùd-nô 
friend              	n(u)wáa-nô 
frog sp.            	klúud-ô 
frog sp.    	ŋkáasí-yò 
fruit               	ntáal-yò 
full      	mpís prór-ô 
gecko               	skéiŋkásèl-yò 
genitals, male      	tóol-yê 
to go                  	páwì-nô 
to go down             	kémó-nô 
to go home             	préem-yô, náswée-nô 
to go up               	páwìsúwəә̀-nô 
God                 	tkwáap-yò 
good                	tée-nô 
grandfather         	úuk-yò 
to grow                	tpóindláukəә̀-ɡəә̀lòkò 
hair (body)         	plíikd-yô 
to hang                	néŋkáu-nô 
head                	kpúunt-yô 
headache            	kpun-syak 
to hear          	    kéi-nô 
to know          	    kéi-nô 
heavy               	ntíiblí-yô 
here                	kún 
to hit                 	pántúdyè-nèmìdəә̀-nô, tpáanlí-yè 
to hold                	áid-nwá-nô 
to be sick     	        lwíi-nô 
house               	áalí-yò 
human               	tpáan-yô 
many                	túud-yô 
mat                 	kíitəә́n-yò 
monitor lizard      	kléep-yò 
moon                	dyúutəә́n-yò 
morning             	páakúd-yô 
mosquito            	páilì-yô 
mother              	íyáa-yô 
mountain            	káil-yò 
mouth           	    bíisì-pô 
mucus               	swée-nô 
mushroom            	kóopí-yò 
naked               	túnlíd-yô 
near                	kákəә̀ntée-nô 
neck                	mpyátè-nô 
string-bag              	kúum-yô 
night         	        tpóon-yò, tpóol-yò 
dark         	        tpóon-yò, tpóol-yò 
noontime            	pánəә̀ipóisúr-ô, pakud-yo 
nose                	klókəә̀n-yô 
old                 	múlì-nô 
one                 	bíisìp-yò 
over there          	kóoməә́tái 
palm midrib         	áawì-yô 
palm sp.            	káidnèmúul-yò 
pandanus fruit      	séetè-yè 
path                	ŋkéempúkəә̀-yô 
person              	maintpoləәŋ-ɡəәlokiyo 
to pick        	ámpúlmá-nô 
pig                 	kómúul-yò 
pigeon sp.          	péelí-yò 
pigeon sp.          	skúul-yô 
play                	p(u)wáa-nô 
to pound sago        	páa-nò, dyewaa-no 
pull                	áŋkénè-móo-nô,  áŋkée-nwà-nô 
push                	múntìdyìɡmwé-nô 
rain                	kwɨ́klyáa-kô 
rainbow             	pyáa-yô 
rat                 	káu-yò 
rattan              	kéepák-yô 
red                 	áinél-yô 
rest                	óŋɡwé-nwà-nô 
rib                 	prée-nô 
right               	ntúdəә̀ntyíl-yè 
river          	        máa-yél-yò 
sea          	        máa-yél-yò 
root                	spóol-yò 
rope                	kyée-yò 
run                 	ímóo-nô 
sago      	tél-yò 
sago grub           	páipí-yò 
sago midrib 	táayí-yô 
sago porridge       	míi-yô 
sago stirrer        	mbyáakè-yô 
sap                 	tpɨ́ɨ-yô 
scratch             	yímìŋkyée-nô 
see                 	líyè-nô, tíyè-nô, kúntáb-nò 
seed                	áim-yè 
sharp               	díβəә̀mbyáa-yò 
shellfish           	páalí-yò 
to shoot               	méŋkɨ́dyèmèdəә̀-nô 
short               	pódíb-yô 
shoulder            	ŋkáimwáat-yò 
to sing                	wée-nô 
to sit           	wókəә̀mó-nô 
skin                	mpáakəә́t-yô 
sky                 	tpáapí-yò 
to sleep          	tróo-nô, ɡétrèmè 
slow                	káakwáusìmànəә̀p-ô 
small               	núdəә́kémúdnùŋɡúi 
smoke               	núkká-yô 
snake (land sp.)    	péel-yò 
snake (tree sp.)    	dyóon-yè 
to sneeze              	séwà-nô 
to speak               	áuɡəә̀máu-nò 
spider              	káawí-yò 
to spit           	múrswée-yô 
to split               	kúŋkəә́ɡnà-ɡəә̀lòkò 
to stab                	tpóinróo-nô 
to stand               	úntyìi-nô 
star                	póowákəә̀n-yô 
to stay                	mékèmó-nô, mékèmú-wò 
to steal               	kwénəә̀máa-nô 
stone               	tóotí-yò 
stop                	ípəә̀ntée-yô 
straight            	píŋəә̀ŋkáuŋk-ô 
strong              	ímóo-nò, málkəә̀lìnyè-nô 
sun                 	táadəә́n-yô 
surprised           	klwéek-nô 
to swallow             	néŋkúd-nô 
swamp               	túdyéndyúàt-ô 
to sweat          	ɡwáadnì-nô 
to swim                	klwáa-nô 
swollen             	próonkóimwà-nô 
tail                	myóol-yò 
take                	néní-nô 
taro             	kyáal-yô 
thigh               	púmwáat-yò 
to be thirsty             	púdyíi-nò 
thorn               	ríin-yò 
throat              	mpyátènkùɡəә̀-nô 
thunder  	páamkúpk-ò 
lightning  	páamkúpk-ò 
to tie                 	próo-nô 
to be tired               	óŋəә̀-nwà-nô 
toenail             	páudn-yó məә̀kəә̀-yô, páu-kísìt-ô 
tomorrow morning    	ɨno 
tongs               	klóopí-yò 
tongue              	áalì-yò 
tooth               	mée-yô 
to travel              	préem-ô 
tree kangaroo       	dyúubnúɡəә̀kəә̀-yô 
tree sp. (Gnetum gnemon) 	síinsìp-yô 
tuber               	kyáas-yò 
wood          	kúd-yô 
tree          	kúd-yô 
turtle              	káil-yò 
two                 	páid-yô 
to urinate             	túu-nò, kpiis-yo 
urine               	túu-yò 
vegetable 	yúmsíip-yò 
village             	nùntáatpwà-nô 
to vomit               	áalpəә̀-nô 
to wake up             	úntyìi-nô 
wallaby             	núlíyí-yô 
to wash                	kíilyè-nô 
termite       	ɡəә́dyúulí-yò 
wasp       	ɡəә́dyúulí-yò 
water               	yél-yò 
wet                 	mwádnì-nô 
what?          	éeb-nò 
white        	kúmyáa-yò 
who?                	mpáa-yò 
wind                	yúumók-ò 
wing                	mpíisìp-yô 
