C1 Kare             	banana              	baugi
C1 Kare			banana 			meaŋga        	
C2 Girawa           	banana              	zʌ:r                	
C3 Munit            	banana              	nair                	
C4 Bemal            	banana              	wal                 	
C5 Sihan            	banana              	i:d                 	
C6 Gumalu           	banana              	i:t                 	
C7 Isebe            	banana              	dʌ:is               	
C8 Amele            	banana              	mu:on               	
C8 Amele            	banana              	mun                 	1202?
C9 Bau              	banana              	i:t                 	
C10 Panim           	banana              	i:t                 	
C11 Rapting         	banana              	mug                 	1202
C12 Wamas           	banana              	mug                 	1202
C13 Samosa          	banana              	mogu                	1202
C14 Murupi          	banana              	mugu                	1202
C15 Saruga          	banana              	mu:gu               	1202
C16 Nake            	banana              	mug                 	1202
C17 Mosimo          	banana              	mugu                	1202
C18 Garus           	banana              	muk                 	1202
C19 Yoidik          	banana              	mug                 	1202
C20 Rempi           	banana              	mu:k                	1202
C21 Bagupi          	banana              	mug                 	1202
C22 Silopi          	banana              	mug                 	1202
C23 Utu             	banana              	mug                 	1202
C24 Mawan           	banana              	mug                 	1202
C25 Baimak          	banana              	mu:g                	1202
C26 Matepi          	banana              	mug                 	1202
C27 Gal             	banana              	mug                 	1202
C28 Garuh           	banana              	mug                 	1202
C29 Kamba           	banana              	mug                 	1202
