D1 Bargam           	tame chicken        	kurek     	
E1 Dimir            	tame chicken        	tater     	2465
E2 Malas            	tame chicken        	tatiri    	2465
E3 Bunabun          	tame chicken        	stari     	2465
E4 Korak            	tame chicken        	titer     	2465
E5 Waskia           	tame chicken        	tarak     	2465
F1 Pay              	tame chicken        	kokobirar 	
F2 Pila             	tame chicken        	tatar     	2465
F3 Maia             	tame chicken        	tatar     	2465
F4 Tani             	tame chicken        	tatar     	2465
F5 Mauwake          	tame chicken        	ara       	2466
F6 Bepour           	tame chicken        	eheri     	2466
F7 Moere            	tame chicken        	kəri      	2466
F8 Kowaki           	tame chicken        	her̃ir̃   	2466
F9 Mawak            	tame chicken        	erir      	2466
F10 Hinihon         	tame chicken        	akekelal  	2466
F11 Musar           	tame chicken        	heli      	2466
F12 Wanambre        	tame chicken        	kekeri    	2466
F13 Koguman         	tame chicken        	akara     	2466
F14 Abasakur        	tame chicken        	kakara    	2466
F15 Usan            	tame chicken        	teteri    	2465
F16 Yaben           	tame chicken        	talia     	2465
F17 Yarawata        	tame chicken        	tatalia   	2465
F18 Bilakura        	tame chicken        	tatalea   	2465
F19 Parawen         	tame chicken        	tata:ri   	2465
F20 Ukuriguma       	tame chicken        	tatari    	2465
F21 Amaimon         	tame chicken        	kakarara  	2466
