D1 Bargam           	flying fox          	palampalam	
D1 Bargam           	flying fox          	yok       	2494
E1 Dimir            	flying fox          	malewoŋ   	2491
E2 Malas            	flying fox          	nune      	2493
E3 Bunabun          	flying fox          	ereg      	
E4 Korak            	flying fox          	malap     	
E5 Waskia           	flying fox          	yalek     	2494
F1 Pay              	flying fox          	malabu    	
F2 Pila             	flying fox          	marambo   	
F3 Maia             	flying fox          	mirʌbu    	
F4 Tani             	flying fox          	marabu    	
F5 Mauwake          	flying fox          	afa       	2492
F6 Bepour           	flying fox          	efe       	2492
F7 Moere            	flying fox          	seweʔ     	2492
F8 Kowaki           	flying fox          	hewaʔ     	2492
F9 Mawak            	flying fox          	ewak      	2492
F10 Hinihon         	flying fox          	buwaŋgom  	
F11 Musar           	flying fox          	se:fak    	2492
F12 Wanambre        	flying fox          	buwaŋgom oya	
F12 Wanambre        	flying fox          	mendituk  	
F13 Koguman         	flying fox          	umogoŋ    	
F14 Abasakur        	flying fox          	baraka    	
F15 Usan            	flying fox          	nunay     	2493
F16 Yaben           	flying fox          	nuni      	2493
F17 Yarawata        	flying fox          	kamikotan 	
F17 Yarawata        	flying fox          	salili    	
F18 Bilakura        	flying fox          	nuni:     	2493
F19 Parawen         	flying fox          	kowoy     	
F20 Ukuriguma       	flying fox          	nune      	2493
F21 Amaimon         	flying fox          	kaway     	
