D1 Bargam           	pandanus            	aran      	
D1 Bargam           	pandanus            	uyan      	
D1 Bargam           	pandanus            	wak       	
E1 Dimir            	pandanus            	kaker     	
E1 Dimir            	pandanus            	tugar̃    	
E2 Malas            	pandanus            	kari:bi   	
E3 Bunabun          	pandanus            	kian      	
E4 Korak            	pandanus            	kokal     	
E5 Waskia           	pandanus            	yir       	
F1 Pay              	pandanus            	wak       	
F2 Pila             	pandanus            	su:n      	
F3 Maia             	pandanus            	wak       	
F4 Tani             	pandanus            	sugʌru    	
F5 Mauwake          	pandanus            	oraba     	2536
F6 Bepour           	pandanus            	sarem     	2536
F7 Moere            	pandanus            	serem     	2536
F8 Kowaki           	pandanus            	sarem     	2536
F9 Mawak            	pandanus            	karoŋgar  	
F9 Mawak            	pandanus            	karoŋgʌr  	
F10 Hinihon         	pandanus            	somboŋgom 	2537
F11 Musar           	pandanus            	sa:lem    	2536
F12 Wanambre        	pandanus            	ukekile   	
F13 Koguman         	pandanus            	tambogom  	
F14 Abasakur        	pandanus            	tabaŋ     	
F15 Usan            	pandanus            	muor      	
F16 Yaben           	pandanus            	muʔʌlu    	
F17 Yarawata        	pandanus            	kaŋa      	
F17 Yarawata        	pandanus            	lulu      	
F17 Yarawata        	pandanus            	sobua     	2537
F18 Bilakura        	pandanus            	kabalulu  	
F19 Parawen         	pandanus            	mokwʌra   	
F20 Ukuriguma       	pandanus            	sabu      	2537
F21 Amaimon         	pandanus            	saupa     	2537
