D1 Bargam           	banana              	nuro      	
D1 Bargam           	banana              	ug        	
E1 Dimir            	banana              	ke:p      	
E2 Malas            	banana              	kunsu     	2519
E3 Bunabun          	banana              	kundi     	2519,2682
E4 Korak            	banana              	kud       	2519,2682
E5 Waskia           	banana              	ga:luk    	
F1 Pay              	banana              	eŋgi      	
F2 Pila             	banana              	kindi     	2519,2682
F3 Maia             	banana              	kidi      	2519,2682
F4 Tani             	banana              	udi       	2519,2682
F5 Mauwake          	banana              	akia      	
F6 Bepour           	banana              	eʔi       	
F7 Moere            	banana              	ili       	
F8 Kowaki           	banana              	eʔi       	
F9 Mawak            	banana              	ena       	2520
F10 Hinihon         	banana              	ena       	2520
F11 Musar           	banana              	eŋgi      	
F12 Wanambre        	banana              	ena       	2520
F13 Koguman         	banana              	u:s       	2519
F14 Abasakur        	banana              	ma:t      	
F15 Usan            	banana              	ɔri       	2682
F16 Yaben           	banana              	ʔwʌji     	2682
F17 Yarawata        	banana              	kodia     	2519,2682
F18 Bilakura        	banana              	kwʌsi     	2682
F19 Parawen         	banana              	kwʌ:ri    	2682
F20 Ukuriguma       	banana              	kodi      	2519,2682
F21 Amaimon         	banana              	ge:yaŋ    	
F21 Amaimon         	banana              	sia       	
