B1 Sinsauru         	2pl gen           	
B2 Asas             	2pl gen           	-ø
B3 Sausi            	2pl gen           	-taba
B4 Koromu           	2pl gen           	-taba
B5 Dumpu            	2pl gen           	
B6 Arawum           	2pl gen           	ø-
B7 Kolom            	2pl gen           	
B8 Suroi            	2pl gen           	
B9 Lemio            	2pl gen           	
B10 Pulabu          	2pl gen           	
B11 Yabong          	2pl gen           	-(n)ga
B12 Ganglau         	2pl gen           	
B13 Saep            	2pl gen           	-ga
B14 Usino           	2pl gen           	-nig
B15 Sumau           	2pl gen           	-tig
B16 Urigina         	2pl gen           	-tɛŋgɛ
B17 Danaru          	2pl gen           	ø-
B18 Usu             	2pl gen           	-tɛ
B19 Erima           	2pl gen           	-tɛgɛ
B20 Deduela         	2pl gen           	-tigɛ
B21 Kwato           	2pl gen           	
B22 Rerau           	2pl gen           	
B23 Jilim           	2pl gen           	
B24 Yangulam        	2pl gen           	
B25 Bom             	2pl gen           	
B26 Male            	2pl gen           	
B27 Bongu           	2pl gen           	
B28 Songum          	2pl gen           	
