one               *mb(w)ia-
two               *ri-pa-
three             *ram
person            *nor
male              *pon
female            *ŋay
mother            *ŋay
# father            
water             *arɨm
fire              *aw-r
sun               *sɨnmari
                  
moon              *m(w)il
star              *suŋkwi
canoe             *kay
louse             *nam
village           *num
breast            *nɨŋkay
tooth             *sisiŋk
blood             *ya-r
bone              *sariŋamp
                  
tongue            *minɨŋk
eye               *tambri
nose              
hair              
ear               *kwandum
egg               *awŋk
leaf              *nɨmpramp
tree              *y(uw)an
                  
yesterday         *ŋarɨŋ
tomorrow          *ŋarɨŋ
oar               *(mɨ)naŋk
betelnut          *porɨŋk
lime              *awi-r
pig               *numpran
crocodile         
snake             *wakɨn
mosquito          *naŋgum
chicken           *nakwan
                  
sago grub         *wun
sago palm         *tɨnum
sago refuse       *tɨk-
pound sago        *pon-
wash sago         *tuku-
to hear           *and-
to hit            *di-
to eat            *am-
to go             
faeces            *mɨndi
spine of leaf     *kɨnɨŋk
leg               *namuŋk
big               *(k)upa-
cold              *sarɨk
